date_of_month,start_time,finsh_time,stage
1,02:00,06:30,6
1,02:00,06:30,7
1,02:00,06:30,8
1,04:00,06:30,2
1,04:00,06:30,3
1,04:00,06:30,4
1,04:00,06:30,5
1,10:00,14:30,8
1,12:00,14:30,4
1,12:00,14:30,5
1,12:00,14:30,6
1,12:00,14:30,7
1,18:00,22:30,5
1,18:00,22:30,6
1,18:00,22:30,7
1,18:00,22:30,8
1,20:00,22:30,1
1,20:00,22:30,2
1,20:00,22:30,3
1,20:00,22:30,4
10,00:00,02:30,3
10,00:00,02:30,4
10,00:00,02:30,5
10,00:00,02:30,6
10,00:00,02:30,7
10,00:00,02:30,8
10,06:00,10:30,6
10,06:00,10:30,7
10,06:00,10:30,8
10,08:00,10:30,2
10,08:00,10:30,3
10,08:00,10:30,4
10,08:00,10:30,5
10,14:00,18:30,8
10,16:00,18:30,4
10,16:00,18:30,5
10,16:00,18:30,6
10,16:00,18:30,7
10,22:00,00:30,5
10,22:00,00:30,6
10,22:00,00:30,7
10,22:00,00:30,8
11,00:00,02:30,1
11,00:00,02:30,2
11,00:00,02:30,3
11,00:00,02:30,4
11,00:00,02:30,5
11,00:00,02:30,6
11,00:00,02:30,7
11,00:00,02:30,8
11,06:00,10:30,7
11,06:00,10:30,8
11,08:00,10:30,3
11,08:00,10:30,4
11,08:00,10:30,5
11,08:00,10:30,6
11,14:00,18:30,6
11,14:00,18:30,7
11,14:00,18:30,8
11,16:00,18:30,2
11,16:00,18:30,3
11,16:00,18:30,4
11,16:00,18:30,5
11,22:00,00:30,8
12,00:00,02:30,4
12,00:00,02:30,5
12,00:00,02:30,6
12,00:00,02:30,7
12,00:00,02:30,8
12,06:00,10:30,5
12,06:00,10:30,6
12,06:00,10:30,7
12,06:00,10:30,8
12,08:00,10:30,1
12,08:00,10:30,2
12,08:00,10:30,3
12,08:00,10:30,4
12,14:00,18:30,7
12,14:00,18:30,8
12,16:00,18:30,3
12,16:00,18:30,4
12,16:00,18:30,5
12,16:00,18:30,6
12,22:00,00:30,6
12,22:00,00:30,7
12,22:00,00:30,8
13,04:00,08:30,6
13,04:00,08:30,7
13,04:00,08:30,8
13,06:00,08:30,4
13,06:00,08:30,5
13,12:00,16:30,8
13,14:00,16:30,1
13,14:00,16:30,2
13,14:00,16:30,3
13,14:00,16:30,4
13,14:00,16:30,5
13,14:00,16:30,6
13,14:00,16:30,7
13,20:00,22:30,5
13,20:00,22:30,6
13,20:00,22:30,7
13,20:00,22:30,8
13,22:00,00:30,3
13,22:00,00:30,4
13,22:00,00:30,5
13,22:00,00:30,6
13,22:00,00:30,7
13,22:00,00:30,8
14,04:00,08:30,7
14,04:00,08:30,8
14,06:00,08:30,2
14,06:00,08:30,3
14,06:00,08:30,4
14,06:00,08:30,5
14,06:00,08:30,6
14,12:00,16:30,6
14,12:00,16:30,7
14,12:00,16:30,8
14,14:00,16:30,4
14,14:00,16:30,5
14,20:00,22:30,8
14,22:00,00:30,1
14,22:00,00:30,2
14,22:00,00:30,3
14,22:00,00:30,4
14,22:00,00:30,5
14,22:00,00:30,6
14,22:00,00:30,7
14,22:00,00:30,8
15,04:00,08:30,5
15,04:00,08:30,6
15,04:00,08:30,7
15,04:00,08:30,8
15,06:00,08:30,3
15,06:00,08:30,4
15,12:00,16:30,7
15,12:00,16:30,8
15,14:00,16:30,2
15,14:00,16:30,3
15,14:00,16:30,4
15,14:00,16:30,5
15,14:00,16:30,6
15,20:00,22:30,6
15,20:00,22:30,7
15,20:00,22:30,8
15,22:00,00:30,4
15,22:00,00:30,5
15,22:00,00:30,6
15,22:00,00:30,7
15,22:00,00:30,8
16,04:00,08:30,8
16,06:00,08:30,1
16,06:00,08:30,2
16,06:00,08:30,3
16,06:00,08:30,4
16,06:00,08:30,5
16,06:00,08:30,6
16,06:00,08:30,7
16,12:00,16:30,5
16,12:00,16:30,6
16,12:00,16:30,7
16,12:00,16:30,8
16,14:00,16:30,3
16,14:00,16:30,4
16,20:00,22:30,7
16,20:00,22:30,8
16,22:00,00:30,2
16,22:00,00:30,3
16,22:00,00:30,4
16,22:00,00:30,5
16,22:00,00:30,6
16,22:00,00:30,7
16,22:00,00:30,8
17,02:00,06:30,6
17,02:00,06:30,7
17,02:00,06:30,8
17,04:00,06:30,2
17,04:00,06:30,3
17,04:00,06:30,4
17,04:00,06:30,5
17,10:00,14:30,8
17,12:00,14:30,4
17,12:00,14:30,5
17,12:00,14:30,6
17,12:00,14:30,7
